customer_id,invoice_date,invoice_id,amount,product,category
CUST001,2025-01-15,INV001,150.50,Rice (50kg),Groceries
CUST001,2025-02-10,INV002,200.00,Cooking Oil,Groceries
CUST001,2025-03-05,INV003,75.00,Sugar,Groceries
CUST001,2025-04-20,INV004,320.00,Cement (10 bags),Building Materials
CUST001,2025-05-15,INV005,180.00,Rice (50kg),Groceries
CUST001,2025-06-01,INV006,95.00,Detergent,Household
CUST001,2025-07-12,INV007,250.00,Paint (5 gallons),Building Materials
CUST001,2025-08-25,INV008,125.00,Cooking Oil,Groceries
CUST001,2025-10-05,INV009,300.00,Rice (100kg),Groceries
CUST001,2025-12-20,INV010,450.00,Christmas Hamper,Groceries
CUST002,2025-01-20,INV011,500.00,Generator Parts,Electronics
CUST002,2025-03-15,INV012,750.00,Solar Panel,Electronics
CUST002,2025-06-10,INV013,1200.00,Refrigerator,Electronics
CUST002,2025-09-05,INV014,350.00,Fan (2 units),Electronics
CUST002,2025-12-01,INV015,2500.00,TV Set,Electronics
CUST003,2025-02-01,INV016,80.00,Notebooks,Stationery
CUST003,2025-02-15,INV017,45.00,Pens,Stationery
CUST003,2025-03-01,INV018,120.00,Files,Stationery
CUST003,2025-03-20,INV019,65.00,Markers,Stationery
CUST003,2025-04-10,INV020,90.00,Staplers,Stationery
CUST003,2025-05-05,INV021,55.00,Paper,Stationery
CUST003,2025-06-15,INV022,75.00,Notebooks,Stationery
CUST003,2025-07-20,INV023,40.00,Pens,Stationery
CUST003,2025-08-10,INV024,100.00,Folders,Stationery
CUST003,2025-09-25,INV025,85.00,Calculators,Stationery
CUST003,2025-10-15,INV026,60.00,Tape,Stationery
CUST003,2025-11-20,INV027,70.00,Glue,Stationery
CUST003,2025-12-10,INV028,110.00,Notebooks,Stationery
CUST004,2025-01-05,INV029,1500.00,Laptop Repair,Services
CUST004,2025-04-10,INV030,800.00,Phone Screen,Services
CUST005,2025-06-01,INV031,3500.00,Office Furniture,Furniture
CUST005,2025-09-15,INV032,2800.00,Desk Set,Furniture
CUST005,2025-12-20,INV033,4200.00,Conference Table,Furniture
CUST006,2025-01-10,INV034,250.00,Bread (bulk),Bakery
CUST006,2025-01-17,INV035,180.00,Pastries,Bakery
CUST006,2025-01-24,INV036,220.00,Bread (bulk),Bakery
CUST006,2025-02-01,INV037,195.00,Cakes,Bakery
CUST006,2025-02-08,INV038,240.00,Bread (bulk),Bakery
CUST006,2025-02-15,INV039,210.00,Pastries,Bakery
CUST006,2025-02-22,INV040,185.00,Bread (bulk),Bakery
CUST006,2025-03-01,INV041,260.00,Wedding Cake,Bakery
CUST006,2025-03-08,INV042,175.00,Bread (bulk),Bakery
CUST006,2025-03-15,INV043,230.00,Pastries,Bakery
CUST006,2025-03-22,INV044,195.00,Bread (bulk),Bakery
CUST006,2025-04-01,INV045,280.00,Easter Special,Bakery
CUST006,2025-04-10,INV046,200.00,Bread (bulk),Bakery
CUST006,2025-04-20,INV047,165.00,Pastries,Bakery
CUST006,2025-05-01,INV048,210.00,Bread (bulk),Bakery
CUST006,2025-05-15,INV049,190.00,Cakes,Bakery
CUST006,2025-06-01,INV050,225.00,Bread (bulk),Bakery
CUST006,2025-06-20,INV051,170.00,Pastries,Bakery
CUST006,2025-07-10,INV052,240.00,Bread (bulk),Bakery
CUST006,2025-08-01,INV053,185.00,Pastries,Bakery
CUST006,2025-09-15,INV054,200.00,Bread (bulk),Bakery
